,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
95,93,AJ Dillon,GNB,22,RB,11,0,46,242,2,11,30,5.3,22,0,2020
19,20,AJ Dillon,GNB,23,RB,17,2,187,803,5,50,36,4.3,47.2,2,2021
26,27,AJ Dillon,GNB,24,RB,17,3,186,770,7,47,27,4.1,45.3,1,2022
104,102,Aaron Brown,DET,24,RB,15,2,27,131,0,7,19,4.9,8.7,0,2009
142,139,Aaron Brown,DET,25,RB,6,0,17,58,0,2,9,3.4,9.7,0,2010
273,266,Aaron Brown,DET,26,RB,1,0,1,0,0,0,0,0,0,0,2011
56,56,Aaron Jones,GNB,23,RB,12,4,81,448,4,23,46,5.5,37.3,0,2017
37,37,Aaron Jones,GNB,24,RB,12,8,133,728,8,41,67,5.5,60.7,1,2018
14,15,Aaron Jones,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3,2019
23,24,Aaron Jones,GNB,27,RB,15,15,171,799,4,37,57,4.7,53.3,2,2021
14,15,Aaron Jones,GNB,28,RB,17,17,213,1121,2,54,36,5.3,65.9,5,2022
9,10,Aaron Jones*,GNB,26,RB,14,14,201,1104,9,52,77,5.5,78.9,2,2020
101,99,Aaron Ripkowski,GNB,24,RB,16,8,34,150,2,12,15,4.4,9.4,0,2016
205,200,Aaron Ripkowski,GNB,25,RB,16,2,5,13,0,0,4,2.6,0.8,0,2017
146,143,Aaron Stecker,TAM,25,RB,10,0,12,31,0,3,14,2.6,3.1,1,2000
113,111,Aaron Stecker,TAM,26,RB,13,0,24,72,1,3,17,3,5.5,0,2001
95,93,Aaron Stecker,TAM,27,RB,16,1,28,174,0,8,59,6.2,10.9,3,2002
94,92,Aaron Stecker,TAM,28,RB,16,1,37,125,0,5,15,3.4,7.8,1,2003
69,68,Aaron Stecker,NOR,29,RB,16,3,58,244,2,11,42,4.2,15.3,1,2004
47,47,Aaron Stecker,NOR,30,RB,15,4,95,363,0,24,32,3.8,24.2,3,2005
204,199,Aaron Stecker,NOR,31,RB,12,1,4,11,0,0,4,2.8,0.9,0,2006
45,45,Aaron Stecker,NOR,32,RB,16,6,115,448,5,28,26,3.9,28,1,2007
172,168,Aaron Stecker,NOR,33,RB,6,0,8,43,0,2,12,5.4,7.2,0,2008
205,200,Aaron Stecker,ATL,34,RB,9,0,5,15,0,0,6,3,1.7,0,2009
169,165,Adimchinobe Echemandu,CLE,24,RB,4,0,8,25,0,2,6,3.1,6.3,1,2004
121,119,Adimchinobe Echemandu,2TM,27,RB,9,0,20,85,0,0,20,4.3,9.4,1,2007
342,332,Adrian Killins,PHI,22,RB,1,0,1,-12,0,0,-12,-12,-12,0,2020
121,119,Adrian Murrell,WAS,30,RB,15,0,20,50,0,2,13,2.5,3.3,1,2000
107,105,Adrian Murrell,DAL,33,RB,3,0,28,107,0,6,17,3.8,35.7,0,2003
114,112,Adrian Peterson,CHI,23,RB,9,0,19,101,1,4,14,5.3,11.2,0,2002
119,117,Adrian Peterson,CHI,24,RB,6,1,22,70,0,4,10,3.2,11.7,0,2003
190,185,Adrian Peterson,CHI,25,RB,14,0,6,19,0,2,13,3.2,1.4,0,2004
54,54,Adrian Peterson,CHI,26,RB,16,0,76,391,2,21,36,5.1,24.4,1,2005
151,148,Adrian Peterson,CHI,27,RB,16,0,10,41,2,6,11,4.1,2.6,2,2006
36,36,Adrian Peterson,CHI,28,RB,16,5,151,510,3,28,21,3.4,31.9,3,2007
119,117,Adrian Peterson,CHI,29,RB,15,0,20,100,0,4,16,5,6.7,0,2008
183,179,Adrian Peterson,CHI,30,RB,14,0,7,51,0,2,15,7.3,3.6,0,2009
17,18,Adrian Peterson,MIN,26,RB,12,12,208,970,12,48,54,4.7,80.8,1,2011
