Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
225,A.J. Derby,2TM,25,TE,10,3,20,16,80.00%,160,10,0,0,17,8,1.6,16,1,2016
192,A.J. Derby,2TM,26,TE,11,1,40,21,52.50%,244,11.6,2,0,29,6.1,1.9,22.2,1,2017
383,A.J. Derby,MIA,27,TE,4,0,5,3,60.00%,48,16,1,3,19,9.6,0.8,12,0,2018
405,Aaron Halterman,MIA,25,TE,9,0,3,1,33.30%,7,7,0,1,7,2.3,0.1,0.8,0,2007
84,Aaron Hernandez,NWE,21,TE,14,7,64,45,70.30%,563,12.5,6,27,46,8.8,3.2,40.2,0,2010
15,Aaron Hernandez,NWE,22,TE,14,12,113,79,69.90%,910,11.5,7,47,46,8.1,5.6,65,1,2011
70,Aaron Hernandez,NWE,23,TE,10,10,83,51,61.40%,483,9.5,5,27,31,5.8,5.1,48.3,0,2012
122,Aaron Shea,CLE,24,TE,15,8,51,30,58.80%,302,10.1,2,10,37,5.9,2,20.1,1,2000
211,Aaron Shea,CLE,25,TE,12,5,20,14,70.00%,86,6.1,0,4,12,4.3,1.2,7.2,0,2001
294,Aaron Shea,CLE,26,TE,7,3,8,7,87.50%,49,7,0,1,18,6.1,1,7,0,2002
378,Aaron Shea,CLE,27,TE,4,2,5,2,40.00%,9,4.5,0,1,7,1.8,0.5,2.3,0,2003
145,Aaron Shea,CLE,28,TE,15,8,48,26,54.20%,252,9.7,4,13,35,5.3,1.7,16.8,0,2004
202,Aaron Shea,CLE,29,TE,12,4,32,18,56.30%,153,8.5,1,9,27,4.8,1.5,12.8,0,2005
279,Aaron Walker,SFO,23,TE,16,2,13,8,61.50%,116,14.5,1,7,26,8.9,0.5,7.3,0,2003
266,Aaron Walker,SFO,24,TE,16,4,15,10,66.70%,115,11.5,0,4,30,7.7,0.6,7.2,0,2004
325,Aaron Walker,STL,26,TE,16,6,6,5,83.30%,68,13.6,0,4,26,11.3,0.3,4.3,0,2006
392,Aaron Walker,STL,27,TE,7,3,3,2,66.70%,13,6.5,0,1,8,4.3,0.3,1.9,0,2007
136,Adam Bergen,ARI,22,TE,16,9,43,28,65.10%,270,9.6,1,13,32,6.3,1.8,16.9,0,2005
211,Adam Bergen,ARI,23,TE,14,7,24,15,62.50%,111,7.4,1,5,17,4.6,1.1,7.9,2,2006
359,Adam Shaheen,CHI,24,TE,6,4,6,5,83.30%,48,9.6,1,3,23,8,0.8,8,0,2018
291,Adam Shaheen,CHI,25,TE,8,2,13,9,69.20%,74,8.2,0,3,18,5.7,1.1,9.3,1,2019
278,Adam Shaheen,MIA,26,TE,16,5,22,12,54.50%,150,12.5,3,9,43,6.8,0.8,9.4,0,2020
274,Adam Shaheen,MIA,27,TE,12,7,16,12,75.00%,110,9.2,0,5,21,6.9,1,9.2,0,2021
