Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
65,A.J. Brown,TEN,22,WR,16,11,84,52,61.90%,1051,20.2,8,39,91,12.5,3.3,65.7,1,2019
46,A.J. Brown,TEN,24,WR,13,13,105,63,60.00%,869,13.8,5,45,57,8.3,4.8,66.8,0,2021
32,A.J. Brown*,TEN,23,WR,14,12,106,70,66.00%,1075,15.4,11,55,73,10.1,5,76.8,2,2020
13,A.J. Brown*,PHI,25,WR,17,16,145,88,60.70%,1496,17,11,59,78,10.3,5.2,88,2,2022
78,A.J. Green,CIN,30,WR,9,9,77,46,59.70%,694,15.1,6,37,38,9,5.1,77.1,2,2018
88,A.J. Green,CIN,32,WR,16,14,104,47,45.20%,523,11.1,2,34,33,5,2.9,32.7,0,2020
62,A.J. Green,ARI,33,WR,16,9,92,54,58.70%,848,15.7,3,37,42,9.2,3.4,53,0,2021
177,A.J. Green,ARI,34,WR,15,10,47,24,51.10%,236,9.8,2,11,77,5,1.6,15.7,0,2022
34,A.J. Green*,CIN,23,WR,15,15,115,65,56.50%,1057,16.3,7,40,58,9.2,4.3,70.5,1,2011
7,A.J. Green*,CIN,24,WR,16,16,164,97,59.10%,1350,13.9,11,61,73,8.2,6.1,84.4,2,2012
6,A.J. Green*,CIN,25,WR,16,16,178,98,55.10%,1426,14.6,11,65,82,8,6.1,89.1,1,2013
35,A.J. Green*,CIN,26,WR,13,13,117,69,59.00%,1041,15.1,6,46,81,8.9,5.3,80.1,3,2014
14,A.J. Green*,CIN,27,WR,16,16,132,86,65.20%,1297,15.1,10,63,80,9.8,5.4,81.1,1,2015
42,A.J. Green*,CIN,28,WR,10,10,100,66,66.00%,964,14.6,4,42,54,9.6,6.6,96.4,0,2016
17,A.J. Green*,CIN,29,WR,16,16,143,75,52.40%,1078,14.4,8,55,77,7.5,4.7,67.4,2,2017
486,A.J. Jenkins,SFO,23,WR,3,0,1,0,0.00%,0,,0,0,0,0,0,0,,2012
282,A.J. Jenkins,KAN,24,WR,16,1,17,8,47.10%,130,16.3,0,4,48,7.6,0.5,8.1,0,2013
279,A.J. Jenkins,KAN,25,WR,9,2,15,9,60.00%,93,10.3,0,5,27,6.2,1,10.3,1,2014
308,Aaron Burbridge,SFO,23,WR,16,3,16,7,43.80%,88,12.6,0,5,24,5.5,0.4,5.5,1,2016
121,Aaron Dobson,NWE,22,WR,12,9,72,37,51.40%,519,14,4,25,81,7.2,3.1,43.3,1,2013
368,Aaron Dobson,NWE,23,WR,4,1,5,3,60.00%,38,12.7,0,2,16,7.6,0.8,9.5,0,2014
256,Aaron Dobson,NWE,24,WR,8,3,21,13,61.90%,141,10.8,0,9,24,6.7,1.6,17.6,0,2015
288,Aaron Moorehead,IND,23,WR,7,0,10,7,70.00%,101,14.4,0,4,35,10.1,1,14.4,1,2003
425,Aaron Moorehead,IND,24,WR,7,0,3,1,33.30%,7,7,0,1,7,2.3,0.1,1,0,2004
283,Aaron Moorehead,IND,25,WR,2,0,11,7,63.60%,75,10.7,0,3,24,6.8,3.5,37.5,0,2005
278,Aaron Moorehead,IND,26,WR,12,0,16,8,50.00%,82,10.3,1,5,36,5.1,0.7,6.8,0,2006
284,Aaron Moorehead,IND,27,WR,8,2,22,8,36.40%,65,8.1,0,4,16,3,1,8.1,0,2007
74,Ace Sanders,JAX,22,WR,15,4,87,51,58.60%,484,9.5,1,22,51,5.6,3.4,32.3,0,2013
328,Ace Sanders,JAX,23,WR,12,0,7,6,85.70%,55,9.2,0,1,24,7.9,0.5,4.6,2,2014
165,Adam Humphries,TAM,22,WR,13,0,40,27,67.50%,260,9.6,1,18,27,6.5,2.1,20,0,2015
70,Adam Humphries,TAM,23,WR,15,4,83,55,66.30%,622,11.3,2,27,42,7.5,3.7,41.5,3,2016
40,Adam Humphries,TAM,24,WR,16,3,83,61,73.50%,631,10.3,1,36,43,7.6,3.8,39.4,1,2017
26,Adam Humphries,TAM,25,WR,16,10,105,76,72.40%,816,10.7,5,48,51,7.8,4.8,51,2,2018
112,Adam Humphries,TEN,26,WR,12,3,47,37,78.70%,374,10.1,2,20,30,8,3.1,31.2,1,2019
187,Adam Humphries,TEN,27,WR,7,1,35,23,65.70%,228,9.9,2,11,23,6.5,3.3,32.6,0,2020
106,Adam Humphries,WAS,28,WR,17,11,62,41,66.10%,383,9.3,0,23,27,6.2,2.4,22.5,0,2021
423,Adam Jennings,ATL,24,WR,15,0,1,0,0.00%,0,,0,0,0,0,0,0,0,2006
310,Adam Jennings,ATL,25,WR,16,2,6,6,100.00%,62,10.3,1,3,28,10.3,0.4,3.9,1,2007
452,Adam Jennings,2TM,26,WR,14,0,2,0,0.00%,0,,0,0,0,0,0,0,4,2008
298,Adam Thielen,MIN,24,WR,16,2,13,8,61.50%,137,17.1,1,7,44,10.5,0.5,8.6,0,2014
273,Adam Thielen,MIN,25,WR,16,2,18,12,66.70%,144,12,0,5,30,8,0.8,9,0,2015
36,Adam Thielen,MIN,26,WR,16,10,92,69,75.00%,967,14,5,44,71,10.5,4.3,60.4,2,2016
